Date,Domain,Metric,Region,Provider Code,Provider Name,Numerator,Denominator
01/01/2025,A&E,>12 hours,East,RC9,Bedfordshire Hospitals NHS Foundation Trust,1390,15470
01/01/2025,A&E,>12 hours,East,RGT,Cambridge University Hospitals NHS Foundation Trust,1355,10060
01/01/2025,A&E,>12 hours,East,RWH,East and North Hertfordshire NHS Trust,1495,8685
01/01/2025,A&E,>12 hours,East,RDE,East Suffolk and North Essex NHS Foundation Trust,2235,13230
01/01/2025,A&E,>12 hours,East,RGP,James Paget University Hospitals NHS Foundation Trust,750,6660
01/01/2025,A&E,>12 hours,East,RAJ,Mid and South Essex NHS Foundation Trust,2655,22370
01/01/2025,A&E,>12 hours,East,RD8,Milton Keynes University Hospital NHS Foundation Trust,760,8405
01/01/2025,A&E,>12 hours,East,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,860,12015
01/01/2025,A&E,>12 hours,East,RGN,North West Anglia NHS Foundation Trust,2025,14795
01/01/2025,A&E,>12 hours,East,RQW,The Princess Alexandra Hospital NHS Trust,1540,9450
01/01/2025,A&E,>12 hours,East,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1000,6350
01/01/2025,A&E,>12 hours,East,RWG,West Hertfordshire Hospitals Teaching NHS Trust,840,8170
01/01/2025,A&E,>12 hours,East,RGR,West Suffolk NHS Foundation Trust,1100,7420
01/01/2025,A&E,>12 hours,London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2995,15865
01/01/2025,A&E,>12 hours,London,R1H,Barts Health NHS Trust,4100,24595
01/01/2025,A&E,>12 hours,London,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,980,12650
01/01/2025,A&E,>12 hours,London,RJ6,Croydon Health Services NHS Trust,1480,12960
01/01/2025,A&E,>12 hours,London,RVR,Epsom and St Helier University Hospitals NHS Trust,1495,11345
01/01/2025,A&E,>12 hours,London,RJ1,Guy's and St Thomas' NHS Foundation Trust,140,10435
01/01/2025,A&E,>12 hours,London,RQX,Homerton University Hospital NHS Foundation Trust,615,10915
01/01/2025,A&E,>12 hours,London,RYJ,Imperial College Healthcare NHS Trust,1335,15815
01/01/2025,A&E,>12 hours,London,RJZ,King's College Hospital NHS Foundation Trust,2590,15145
01/01/2025,A&E,>12 hours,London,RAX,Kingston Hospital NHS Foundation Trust,1010,7125
01/01/2025,A&E,>12 hours,London,RJ2,Lewisham and Greenwich NHS Trust,2255,15265
01/01/2025,A&E,>12 hours,London,R1K,London North West University Healthcare NHS Trust,2565,13715
01/01/2025,A&E,>12 hours,London,RP6,Moorfields Eye Hospital NHS Foundation Trust,0,5465
01/01/2025,A&E,>12 hours,London,RAL,Royal Free London NHS Foundation Trust,3865,25520
01/01/2025,A&E,>12 hours,London,RJ7,St George's University Hospitals NHS Foundation Trust,905,11920
01/01/2025,A&E,>12 hours,London,RAS,The Hillingdon Hospitals NHS Foundation Trust,1060,5975
01/01/2025,A&E,>12 hours,London,RRV,University College London Hospitals NHS Foundation Trust,570,13000
01/01/2025,A&E,>12 hours,London,RKE,Whittington Health NHS Trust,865,6875
01/01/2025,A&E,>12 hours,Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,15,4710
01/01/2025,A&E,>12 hours,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,760,6755
01/01/2025,A&E,>12 hours,Midlands,RLT,George Eliot Hospital NHS Trust,885,6830
01/01/2025,A&E,>12 hours,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,1430,9765
01/01/2025,A&E,>12 hours,Midlands,RNS,Northampton General Hospital NHS Trust,1890,10735
01/01/2025,A&E,>12 hours,Midlands,RX1,Nottingham University Hospitals NHS Trust,2460,17415
01/01/2025,A&E,>12 hours,Midlands,RXK,Sandwell and West Birmingham Hospitals NHS Trust,1560,12945
01/01/2025,A&E,>12 hours,Midlands,RK5,Sherwood Forest Hospitals NHS Foundation Trust,875,10370
01/01/2025,A&E,>12 hours,Midlands,RJC,South Warwickshire NHS Foundation Trust,700,7490
01/01/2025,A&E,>12 hours,Midlands,RNA,The Dudley Group NHS Foundation Trust,1095,8790
01/01/2025,A&E,>12 hours,Midlands,RL4,The Royal Wolverhampton NHS Trust,1580,12690
01/01/2025,A&E,>12 hours,Midlands,RXW,The Shrewsbury and Telford Hospital NHS Trust,**,**
01/01/2025,A&E,>12 hours,Midlands,RWD,United Lincolnshire Hospitals NHS Trust,2280,10140
01/01/2025,A&E,>12 hours,Midlands,RRK,University Hospitals Birmingham NHS Foundation Trust,5205,33015
01/01/2025,A&E,>12 hours,Midlands,RKB,University Hospitals Coventry and Warwickshire NHS Trust,2070,13135
01/01/2025,A&E,>12 hours,Midlands,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,2995,19485
01/01/2025,A&E,>12 hours,Midlands,RWE,University Hospitals of Leicester NHS Trust,2990,22860
01/01/2025,A&E,>12 hours,Midlands,RJE,University Hospitals of North Midlands NHS Trust,2575,14025
01/01/2025,A&E,>12 hours,Midlands,RBK,Walsall Healthcare NHS Trust,905,9070
01/01/2025,A&E,>12 hours,Midlands,RWP,Worcestershire Acute Hospitals NHS Trust,2630,12450
01/01/2025,A&E,>12 hours,Midlands,RLQ,Wye Valley NHS Trust,975,5655
01/01/2025,A&E,>12 hours,North East,RCF,Airedale NHS Foundation Trust,590,5930
01/01/2025,A&E,>12 hours,North East,RFF,Barnsley Hospital NHS Foundation Trust,325,8680
01/01/2025,A&E,>12 hours,North East,RAE,Bradford Teaching Hospitals NHS Foundation Trust,890,11995
01/01/2025,A&E,>12 hours,North East,RWY,Calderdale and Huddersfield NHS Foundation Trust,880,14530
01/01/2025,A&E,>12 hours,North East,RXP,County Durham and Darlington NHS Foundation Trust,2295,13420
01/01/2025,A&E,>12 hours,North East,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,840,15285
01/01/2025,A&E,>12 hours,North East,RR7,Gateshead Health NHS Foundation Trust,450,5890
01/01/2025,A&E,>12 hours,North East,RCD,Harrogate and District NHS Foundation Trust,370,4740
01/01/2025,A&E,>12 hours,North East,RWA,Hull University Teaching Hospitals NHS Trust,1595,9345
01/01/2025,A&E,>12 hours,North East,RR8,Leeds Teaching Hospitals NHS Trust,1945,18930
01/01/2025,A&E,>12 hours,North East,RXF,Mid Yorkshire Hospitals NHS Trust,2665,15565
01/01/2025,A&E,>12 hours,North East,RNN,North Cumbria Integrated Care NHS Foundation Trust,1240,8460
01/01/2025,A&E,>12 hours,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,305,4805
01/01/2025,A&E,>12 hours,North East,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,1795,8665
01/01/2025,A&E,>12 hours,North East,RTF,Northumbria Healthcare NHS Foundation Trust,150,9370
01/01/2025,A&E,>12 hours,North East,RCU,Sheffield Children's NHS Foundation Trust,0,4765
01/01/2025,A&E,>12 hours,North East,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,865,10415
01/01/2025,A&E,>12 hours,North East,RTR,South Tees Hospitals NHS Foundation Trust,835,7205
01/01/2025,A&E,>12 hours,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,1230,12725
01/01/2025,A&E,>12 hours,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,420,14115
