Month,Domain,Metric,Region,Provider_Code,Provider_Name,Numerator,Denominator,%_Value,Rank,Rank_Region,Region_Size,Data_Date_Used,Notes_Flags
01/01/2025,A&E,4 hours,East,RC9,Bedfordshire Hospitals NHS Foundation Trust,21210,28414,0.746,50,4,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RGT,Cambridge University Hospitals NHS Foundation Trust,11240,15944,0.705,78,7,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RWH,East And North Hertfordshire NHS Trust,13039,17941,0.727,66,5,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RDE,East Suffolk And North Essex NHS Foundation Trust,20947,27466,0.763,34,3,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RGP,James Paget University Hospitals NHS Foundation Trust,4993,8050,0.62,111,11,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RAJ,Mid and South Essex NHS Foundation Trust,23192,34555,0.671,93,8,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RD8,Milton Keynes University Hospital NHS Foundation Trust,9697,13393,0.724,68,6,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,16270,20424,0.797,17,2,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RGN,North West Anglia NHS Foundation Trust,12675,18988,0.668,95,9,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RQW,The Princess Alexandra Hospital NHS Trust,7005,11548,0.607,114,12,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",4548,7501,0.606,115,13,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RWG,West Hertfordshire Teaching Hospitals NHS Trust,12619,15721,0.803,16,1,13,01/01/2025,
01/01/2025,A&E,4 hours,East,RGR,West Suffolk NHS Foundation Trust,5191,8150,0.637,108,10,13,01/01/2025,
01/01/2025,A&E,4 hours,London,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",29265,36070,0.811,12,2,18,01/01/2025,
01/01/2025,A&E,4 hours,London,R1H,Barts Health NHS Trust,31006,43836,0.707,75,16,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,19583,26369,0.743,51,11,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RJ6,Croydon Health Services NHS Trust,14012.5,19159.75,0.731,62,15,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RVR,Epsom And St Helier University Hospitals NHS Trust,9596,12839,0.747,49,10,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RJ1,Guy's And St Thomas' NHS Foundation Trust,12871,16875,0.763,34,8,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RQX,Homerton Healthcare NHS Foundation Trust,8583,10961,0.783,21,5,18,01/01/2025,
