Quarter,Domain,Metric,Region,Provider Code,Provider Name,Numerator,Denominator,% Value,Rank,Months Covered,Covered Months,Missing Months,Is Complete
Q4 (2024/25),A&E,4 hours,London,RP6,Moorfields Eye Hospital NHS Foundation Trust,16300,16574,98.30%,1,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCU,Sheffield Children's NHS Foundation Trust,13847,15040,92.10%,2,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,REP,Liverpool Women's NHS Foundation Trust,4264,4773,89.30%,3,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RQ3,Birmingham Women's And Children's NHS Foundation Trust,18353,20735,88.50%,4,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBS,Alder Hey Children's NHS Foundation Trust,28819,32840,87.80%,5,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RTF,Northumbria Healthcare NHS Foundation Trust,55062,63156,87.20%,6,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RVW,North Tees And Hartlepool NHS Foundation Trust,39615,47062,84.20%,7,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RWF,Maidstone And Tunbridge Wells NHS Trust,54600,65341,83.60%,8,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RTP,Surrey And Sussex Healthcare NHS Trust,51664,62369,82.80%,9,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RAE,Bradford Teaching Hospitals NHS Foundation Trust,31779,38569,82.40%,10,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RL4,The Royal Wolverhampton NHS Trust,51640,63185,81.70%,11,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RPA,Medway NHS Foundation Trust,50772,62229,81.60%,12,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RVV,East Kent Hospitals University NHS Foundation Trust,85508,105219,81.30%,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",85877,106003,81.00%,14,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ7,St George's University Hospitals NHS Foundation Trust,30335,37454,81.00%,14,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,48278,59802,80.70%,16,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RWG,West Hertfordshire Teaching Hospitals NHS Trust,38659,47900,80.70%,16,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RYJ,Imperial College Healthcare NHS Trust,70763,88116,80.30%,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RQX,Homerton Healthcare NHS Foundation Trust,25866,32248,80.20%,19,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,44125,55466,79.60%,20,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RBD,Dorset County Hospital NHS Foundation Trust,19396,24417,79.40%,21,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,71917,90956,79.10%,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RNA,The Dudley Group NHS Foundation Trust,33333,42163,79.10%,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,45592,57880,78.80%,24,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RXP,County Durham And Darlington NHS Foundation Trust,56248,71564,78.60%,25,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJZ,King's College Hospital NHS Foundation Trust,82017,104318,78.60%,25,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RRV,University College London Hospitals NHS Foundation Trust,38816,49487,78.40%,27,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,41610,53269,78.10%,28,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RHU,Portsmouth Hospitals University National Health Service Trust,57533,73627,78.10%,28,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RXK,Sandwell And West Birmingham Hospitals NHS Trust,55621,71353,78.00%,30,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RXQ,Buckinghamshire Healthcare NHS Trust,35276,45282,77.90%,31,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ6,Croydon Health Services NHS Trust,43303,55970,77.40%,32,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ1,Guy's And St Thomas' NHS Foundation Trust,39427,50937,77.40%,32,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,REF,Royal Cornwall Hospitals NHS Trust,40004,51696,77.40%,32,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RXR,East Lancashire Hospitals NHS Trust,52330,68074,76.90%,35,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RDE,East Suffolk And North Essex NHS Foundation Trust,63290,82460,76.80%,36,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,45319,59168,76.60%,37,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,34043,44481,76.50%,38,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RHW,Royal Berkshire NHS Foundation Trust,45631,59813,76.30%,39,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,59011,77446,76.20%,40,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RN7,Dartford And Gravesham NHS Trust,34479,45274,76.20%,40,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RTE,Gloucestershire Hospitals NHS Foundation Trust,47423,62274,76.20%,40,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RWY,Calderdale And Huddersfield NHS Foundation Trust,39526,51954,76.10%,43,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RAX,Kingston and Richmond NHS Foundation Trust,34523,45364,76.10%,43,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RWE,University Hospitals Of Leicester NHS Trust,89243,117219,76.10%,43,3,"Jan, Feb, Mar",,Yes
